Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576	98	-123	24	3576
99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602	99	-125	26	3602
100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617	100	-15	15	3617
101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633	101	-16	16	3633
102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648	102	-15	15	3648
103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661	103	-13	13	3661
104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676	104	-15	15	3676
105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690	105	-14	14	3690
106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709	106	-19	19	3709
107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724	107	-15	15	3724
108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745	108	-21	21	3745
109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760	109	-15	15	3760
110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801	110	-239	41	3801
111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814	111	-13	13	3814
112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833	112	-118	19	3833
113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848	113	-15	15	3848
114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869	114	-21	21	3869
115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892	115	-23	23	3892
116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917	116	-25	25	3917
117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930	117	-13	13	3930
118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947	118	-17	17	3947
119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960	119	-13	13	3960
120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974	120	-113	14	3974
121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991	121	-17	17	3991
122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004	122	-13	13	4004
123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020	123	-16	16	4020
124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036	124	-16	16	4036
125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049	125	-13	13	4049
126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063	126	-14	14	4063
127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084	127	-120	21	4084
128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097	128	-13	13	4097
129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110	129	-13	13	4110
130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123	130	-13	13	4123
131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139	131	-16	16	4139
132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156	132	-17	17	4156
133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195	133	-435	39	4195
134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208	134	-13	13	4208
135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221	135	-13	13	4221
136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241	136	-119	20	4241
137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254	137	-13	13	4254
138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267	138	-13	13	4267
139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284	139	-116	17	4284
140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299	140	-15	15	4299
141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334	141	-134	35	4334
142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361	142	-126	27	4361
143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380	143	-19	19	4380
144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393	144	-13	13	4393
145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406	145	-13	13	4406
146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428	146	-121	22	4428
147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443	147	-15	15	4443
148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456	148	-13	13	4456
149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503	149	-344	47	4503
150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516	150	-13	13	4516
151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529	151	-13	13	4529
152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546	152	-17	17	4546
153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561	153	-15	15	4561
154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574	154	-13	13	4574
155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587	155	-13	13	4587
156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609	156	-121	22	4609
157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624	157	-15	15	4624
158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637	158	-13	13	4637
159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660	159	-122	23	4660
160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675	160	-15	15	4675
161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688	161	-13	13	4688
162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703	162	-15	15	4703
163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716	163	-13	13	4716
164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729	164	-13	13	4729
165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744	165	-15	15	4744
166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757	166	-13	13	4757
167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770	167	-13	13	4770
168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783	168	-13	13	4783
169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796	169	-13	13	4796
170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809	170	-13	13	4809
171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826	171	-17	17	4826
172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839	172	-13	13	4839
173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852	173	-13	13	4852
174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865	174	-13	13	4865
175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881	175	-115	16	4881
176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894	176	-13	13	4894
177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909	177	-15	15	4909
178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924	178	-15	15	4924
179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955	179	-229	31	4955
180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968	180	-13	13	4968
181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981	181	-13	13	4981
182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994	182	-13	13	4994
183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007	183	-13	13	5007
184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029	184	-121	22	5029
185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044	185	-15	15	5044
186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059	186	-15	15	5059
187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074	187	-15	15	5074
188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104	188	-228	30	5104
189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125	189	-120	21	5125
190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138	190	-13	13	5138
191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153	191	-15	15	5153
192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168	192	-15	15	5168
193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183	193	-15	15	5183
194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196	194	-13	13	5196
195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209	195	-13	13	5209
196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228	196	-19	19	5228
197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243	197	-15	15	5243
198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256	198	-13	13	5256
199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269	199	-13	13	5269
