Episode	Accumulated Reward	Length	Steps
0	1.0	1	1
1	-1.0	1	2
2	1.0	1	3
3	-1.0	1	4
4	1.0	1	5
5	-1.0	1	6
6	-1.0	1	7
7	-1.0	1	8
8	-1.0	1	9
9	-1.0	1	10
10	-1.0	1	11
11	-1.0	1	12
12	-1.0	1	13
13	1.0	1	14
14	1.0	1	15
15	1.0	1	16
16	-1.0	1	17
17	1.0	1	18
18	-1.0	1	19
19	-1.0	1	20
20	1.0	1	21
21	-1.0	1	22
22	-1.0	1	23
23	1.0	1	24
24	-1.0	1	25
25	-1.0	1	26
26	-1.0	1	27
27	1.0	1	28
28	-1.0	1	29
29	1.0	1	30
30	1.0	1	31
31	-1.0	1	32
32	-1.0	1	33
33	-1.0	1	34
34	-1.0	1	35
35	0.0	1	36
36	-1.0	1	37
37	-1.0	2	39
38	-1.0	1	40
39	0.0	1	41
40	1.0	1	42
41	-1.0	1	43
42	-1.0	1	44
43	1.0	1	45
44	1.0	1	46
45	-1.0	1	47
46	-1.0	1	48
47	-1.0	1	49
48	0.0	1	50
49	1.0	1	51
50	-1.0	1	52
51	-1.0	1	53
52	1.0	1	54
53	-1.0	1	55
54	-1.0	1	56
55	1.0	1	57
56	1.0	1	58
57	1.0	1	59
58	1.0	1	60
59	0.0	1	61
60	-1.0	1	62
61	-1.0	1	63
62	1.0	1	64
63	-1.0	1	65
64	-1.0	1	66
65	-1.0	1	67
66	-1.0	1	68
67	-1.0	1	69
68	-1.0	1	70
69	-1.0	1	71
70	-1.0	1	72
71	1.0	1	73
72	1.0	1	74
73	1.0	1	75
74	-1.0	1	76
75	1.0	1	77
76	1.0	1	78
77	-1.0	1	79
78	-1.0	1	80
79	-1.0	1	81
80	-1.0	1	82
81	1.0	1	83
82	-1.0	1	84
83	1.0	1	85
84	-1.0	1	86
85	1.0	1	87
86	-1.0	1	88
87	-1.0	1	89
88	-1.0	2	91
89	1.0	1	92
90	0.0	1	93
91	-1.0	1	94
92	-1.0	2	96
93	1.0	1	97
94	-1.0	1	98
95	1.0	1	99
96	-1.0	1	100
97	1.0	1	101
98	1.0	1	102
99	-1.0	1	103
100	1.0	1	104
101	0.0	1	105
102	-1.0	1	106
103	1.0	1	107
104	-1.0	1	108
105	-1.0	1	109
106	-1.0	1	110
107	-1.0	1	111
108	1.0	1	112
109	1.0	1	113
110	-1.0	1	114
111	1.0	1	115
112	1.0	1	116
113	-1.0	1	117
114	-1.0	1	118
115	1.0	1	119
116	-1.0	1	120
117	-1.0	1	121
118	0.0	1	122
119	-1.0	1	123
120	-1.0	1	124
121	-1.0	1	125
122	-1.0	1	126
123	1.0	1	127
124	1.0	1	128
125	1.0	1	129
126	-1.0	1	130
127	-1.0	1	131
128	1.0	1	132
129	-1.0	1	133
130	-1.0	1	134
131	-1.0	1	135
132	-1.0	1	136
133	1.0	1	137
134	1.0	2	139
135	1.0	1	140
136	1.0	1	141
137	-1.0	1	142
