Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
49	-20	20	1195	49	-20	20	1195	49	-20	20	1195	49	-20	20	1195
50	-26	26	1221	50	-26	26	1221	50	-26	26	1221	50	-26	26	1221
51	-26	26	1247	51	-26	26	1247	51	-26	26	1247	51	-26	26	1247
52	-21	21	1268	52	-21	21	1268	52	-21	21	1268	52	-21	21	1268
53	-17	17	1285	53	-17	17	1285	53	-17	17	1285	53	-17	17	1285
54	-17	17	1302	54	-17	17	1302	54	-17	17	1302	54	-17	17	1302
55	-33	33	1335	55	-33	33	1335	55	-33	33	1335	55	-33	33	1335
56	-26	26	1361	56	-26	26	1361	56	-26	26	1361	56	-26	26	1361
57	-76	76	1437	57	-76	76	1437	57	-76	76	1437	57	-76	76	1437
58	-243	144	1581	58	-243	144	1581	58	-243	144	1581	58	-243	144	1581
59	-64	64	1645	59	-64	64	1645	59	-64	64	1645	59	-64	64	1645
60	-143	44	1689	60	-143	44	1689	60	-143	44	1689	60	-143	44	1689
61	-30	30	1719	61	-30	30	1719	61	-30	30	1719	61	-30	30	1719
62	-26	26	1745	62	-26	26	1745	62	-26	26	1745	62	-26	26	1745
63	-31	31	1776	63	-31	31	1776	63	-31	31	1776	63	-31	31	1776
64	-40	40	1816	64	-40	40	1816	64	-40	40	1816	64	-40	40	1816
65	-17	17	1833	65	-17	17	1833	65	-17	17	1833	65	-17	17	1833
66	-17	17	1850	66	-17	17	1850	66	-17	17	1850	66	-17	17	1850
67	-21	21	1871	67	-21	21	1871	67	-21	21	1871	67	-21	21	1871
68	-27	27	1898	68	-27	27	1898	68	-27	27	1898	68	-27	27	1898
69	-27	27	1925	69	-27	27	1925	69	-27	27	1925	69	-27	27	1925
70	-26	26	1951	70	-26	26	1951	70	-26	26	1951	70	-26	26	1951
71	-29	29	1980	71	-29	29	1980	71	-29	29	1980	71	-29	29	1980
72	-19	19	1999	72	-19	19	1999	72	-19	19	1999	72	-19	19	1999
73	-17	17	2016	73	-17	17	2016	73	-17	17	2016	73	-17	17	2016
74	-117	18	2034	74	-117	18	2034	74	-117	18	2034	74	-117	18	2034
75	-21	21	2055	75	-21	21	2055	75	-21	21	2055	75	-21	21	2055
76	-17	17	2072	76	-17	17	2072	76	-17	17	2072	76	-17	17	2072
77	-19	19	2091	77	-19	19	2091	77	-19	19	2091	77	-19	19	2091
78	-22	22	2113	78	-22	22	2113	78	-22	22	2113	78	-22	22	2113
79	-119	20	2133	79	-119	20	2133	79	-119	20	2133	79	-119	20	2133
80	-21	21	2154	80	-21	21	2154	80	-21	21	2154	80	-21	21	2154
81	-17	17	2171	81	-17	17	2171	81	-17	17	2171	81	-17	17	2171
82	-21	21	2192	82	-21	21	2192	82	-21	21	2192	82	-21	21	2192
83	-23	23	2215	83	-23	23	2215	83	-23	23	2215	83	-23	23	2215
84	-17	17	2232	84	-17	17	2232	84	-17	17	2232	84	-17	17	2232
85	-17	17	2249	85	-17	17	2249	85	-17	17	2249	85	-17	17	2249
86	-20	20	2269	86	-20	20	2269	86	-20	20	2269	86	-20	20	2269
87	-20	20	2289	87	-20	20	2289	87	-20	20	2289	87	-20	20	2289
88	-19	19	2308	88	-19	19	2308	88	-19	19	2308	88	-19	19	2308
89	-3063	2370	4678	89	-3063	2370	4678	89	-3063	2370	4678	89	-3063	2370	4678
90	-37	37	4715	90	-37	37	4715	90	-37	37	4715	90	-37	37	4715
91	-30	30	4745	91	-30	30	4745	91	-30	30	4745	91	-30	30	4745
92	-17	17	4762	92	-17	17	4762	92	-17	17	4762	92	-17	17	4762
93	-19	19	4781	93	-19	19	4781	93	-19	19	4781	93	-19	19	4781
94	-20	20	4801	94	-20	20	4801	94	-20	20	4801	94	-20	20	4801
95	-17	17	4818	95	-17	17	4818	95	-17	17	4818	95	-17	17	4818
96	-17	17	4835	96	-17	17	4835	96	-17	17	4835	96	-17	17	4835
97	-17	17	4852	97	-17	17	4852	97	-17	17	4852	97	-17	17	4852
98	-19	19	4871	98	-19	19	4871	98	-19	19	4871	98	-19	19	4871
99	-21	21	4892	99	-21	21	4892	99	-21	21	4892	99	-21	21	4892
100	-34	34	4926	100	-34	34	4926	100	-34	34	4926	100	-34	34	4926
101	-49	49	4975	101	-49	49	4975	101	-49	49	4975	101	-49	49	4975
102	-119	20	4995	102	-119	20	4995	102	-119	20	4995	102	-119	20	4995
103	-19	19	5014	103	-19	19	5014	103	-19	19	5014	103	-19	19	5014
104	-405	207	5221	104	-405	207	5221	104	-405	207	5221	104	-405	207	5221
105	-62	62	5283	105	-62	62	5283	105	-62	62	5283	105	-62	62	5283
106	-68	68	5351	106	-68	68	5351	106	-68	68	5351	106	-68	68	5351
107	-46	46	5397	107	-46	46	5397	107	-46	46	5397	107	-46	46	5397
108	-142	43	5440	108	-142	43	5440	108	-142	43	5440	108	-142	43	5440
109	-22	22	5462	109	-22	22	5462	109	-22	22	5462	109	-22	22	5462
110	-30	30	5492	110	-30	30	5492	110	-30	30	5492	110	-30	30	5492
111	-29	29	5521	111	-29	29	5521	111	-29	29	5521	111	-29	29	5521
112	-127	127	5648	112	-127	127	5648	112	-127	127	5648	112	-127	127	5648
113	-24	24	5672	113	-24	24	5672	113	-24	24	5672	113	-24	24	5672
114	-25	25	5697	114	-25	25	5697	114	-25	25	5697	114	-25	25	5697
115	-23	23	5720	115	-23	23	5720	115	-23	23	5720	115	-23	23	5720
116	-19	19	5739	116	-19	19	5739	116	-19	19	5739	116	-19	19	5739
117	-23	23	5762	117	-23	23	5762	117	-23	23	5762	117	-23	23	5762
118	-20	20	5782	118	-20	20	5782	118	-20	20	5782	118	-20	20	5782
119	-19	19	5801	119	-19	19	5801	119	-19	19	5801	119	-19	19	5801
120	-20	20	5821	120	-20	20	5821	120	-20	20	5821	120	-20	20	5821
121	-19	19	5840	121	-19	19	5840	121	-19	19	5840	121	-19	19	5840
122	-23	23	5863	122	-23	23	5863	122	-23	23	5863	122	-23	23	5863
123	-37	37	5900	123	-37	37	5900	123	-37	37	5900	123	-37	37	5900
124	-47	47	5947	124	-47	47	5947	124	-47	47	5947	124	-47	47	5947
125	-48	48	5995	125	-48	48	5995	125	-48	48	5995	125	-48	48	5995
126	-19	19	6014	126	-19	19	6014	126	-19	19	6014	126	-19	19	6014
127	-24	24	6038	127	-24	24	6038	127	-24	24	6038	127	-24	24	6038
128	-19	19	6057	128	-19	19	6057	128	-19	19	6057	128	-19	19	6057
129	-20	20	6077	129	-20	20	6077	129	-20	20	6077	129	-20	20	6077
130	-23	23	6100	130	-23	23	6100	130	-23	23	6100	130	-23	23	6100
131	-21	21	6121	131	-21	21	6121	131	-21	21	6121	131	-21	21	6121
132	-21	21	6142	132	-21	21	6142	132	-21	21	6142	132	-21	21	6142
133	-19	19	6161	133	-19	19	6161	133	-19	19	6161	133	-19	19	6161
134	-25	25	6186	134	-25	25	6186	134	-25	25	6186	134	-25	25	6186
135	-254	56	6242	135	-254	56	6242	135	-254	56	6242	135	-254	56	6242
136	-19	19	6261	136	-19	19	6261	136	-19	19	6261	136	-19	19	6261
137	-17	17	6278	137	-17	17	6278	137	-17	17	6278	137	-17	17	6278
138	-22	22	6300	138	-22	22	6300	138	-22	22	6300	138	-22	22	6300
139	-21	21	6321	139	-21	21	6321	139	-21	21	6321	139	-21	21	6321
140	-19	19	6340	140	-19	19	6340	140	-19	19	6340	140	-19	19	6340
141	-79	79	6419	141	-79	79	6419	141	-79	79	6419	141	-79	79	6419
142	-27	27	6446	142	-27	27	6446	142	-27	27	6446	142	-27	27	6446
143	-27	27	6473	143	-27	27	6473	143	-27	27	6473	143	-27	27	6473
144	-21	21	6494	144	-21	21	6494	144	-21	21	6494	144	-21	21	6494
145	-455	59	6553	145	-455	59	6553	145	-455	59	6553	145	-455	59	6553
146	-35	35	6588	146	-35	35	6588	146	-35	35	6588	146	-35	35	6588
147	-19	19	6607	147	-19	19	6607	147	-19	19	6607	147	-19	19	6607
148	-21	21	6628	148	-21	21	6628	148	-21	21	6628	148	-21	21	6628
149	-21	21	6649	149	-21	21	6649	149	-21	21	6649	149	-21	21	6649
150	-23	23	6672	150	-23	23	6672	150	-23	23	6672	150	-23	23	6672
151	-41	41	6713	151	-41	41	6713	151	-41	41	6713	151	-41	41	6713
152	-27	27	6740	152	-27	27	6740	152	-27	27	6740	152	-27	27	6740
153	-20	20	6760	153	-20	20	6760	153	-20	20	6760	153	-20	20	6760
154	-17	17	6777	154	-17	17	6777	154	-17	17	6777	154	-17	17	6777
155	-17	17	6794	155	-17	17	6794	155	-17	17	6794	155	-17	17	6794
156	-17	17	6811	156	-17	17	6811	156	-17	17	6811	156	-17	17	6811
157	-125	26	6837	157	-125	26	6837	157	-125	26	6837	157	-125	26	6837
158	-125	26	6863	158	-125	26	6863	158	-125	26	6863	158	-125	26	6863
159	-19	19	6882	159	-19	19	6882	159	-19	19	6882	159	-19	19	6882
160	-126	27	6909	160	-126	27	6909	160	-126	27	6909	160	-126	27	6909
161	-22	22	6931	161	-22	22	6931	161	-22	22	6931	161	-22	22	6931
162	-27	27	6958	162	-27	27	6958	162	-27	27	6958	162	-27	27	6958
163	-23	23	6981	163	-23	23	6981	163	-23	23	6981	163	-23	23	6981
164	-32	32	7013	164	-32	32	7013	164	-32	32	7013	164	-32	32	7013
165	-34	34	7047	165	-34	34	7047	165	-34	34	7047	165	-34	34	7047
166	-97	97	7144	166	-97	97	7144	166	-97	97	7144	166	-97	97	7144
167	-55	55	7199	167	-55	55	7199	167	-55	55	7199	167	-55	55	7199
168	-30	30	7229	168	-30	30	7229	168	-30	30	7229	168	-30	30	7229
169	-36	36	7265	169	-36	36	7265	169	-36	36	7265	169	-36	36	7265
170	-132	33	7298	170	-132	33	7298	170	-132	33	7298	170	-132	33	7298
171	-17	17	7315	171	-17	17	7315	171	-17	17	7315	171	-17	17	7315
172	-18	18	7333	172	-18	18	7333	172	-18	18	7333	172	-18	18	7333
173	-17	17	7350	173	-17	17	7350	173	-17	17	7350	173	-17	17	7350
174	-17	17	7367	174	-17	17	7367	174	-17	17	7367	174	-17	17	7367
175	-137	38	7405	175	-137	38	7405	175	-137	38	7405	175	-137	38	7405
176	-40	40	7445	176	-40	40	7445	176	-40	40	7445	176	-40	40	7445
177	-49	49	7494	177	-49	49	7494	177	-49	49	7494	177	-49	49	7494
178	-30	30	7524	178	-30	30	7524	178	-30	30	7524	178	-30	30	7524
179	-135	36	7560	179	-135	36	7560	179	-135	36	7560	179	-135	36	7560
180	-39	39	7599	180	-39	39	7599	180	-39	39	7599	180	-39	39	7599
181	-25	25	7624	181	-25	25	7624	181	-25	25	7624	181	-25	25	7624
182	-17	17	7641	182	-17	17	7641	182	-17	17	7641	182	-17	17	7641
183	-24	24	7665	183	-24	24	7665	183	-24	24	7665	183	-24	24	7665
184	-17	17	7682	184	-17	17	7682	184	-17	17	7682	184	-17	17	7682
185	-18	18	7700	185	-18	18	7700	185	-18	18	7700	185	-18	18	7700
186	-17	17	7717	186	-17	17	7717	186	-17	17	7717	186	-17	17	7717
187	-17	17	7734	187	-17	17	7734	187	-17	17	7734	187	-17	17	7734
188	-23	23	7757	188	-23	23	7757	188	-23	23	7757	188	-23	23	7757
189	-17	17	7774	189	-17	17	7774	189	-17	17	7774	189	-17	17	7774
190	-135	36	7810	190	-135	36	7810	190	-135	36	7810	190	-135	36	7810
191	-43	43	7853	191	-43	43	7853	191	-43	43	7853	191	-43	43	7853
192	-48	48	7901	192	-48	48	7901	192	-48	48	7901	192	-48	48	7901
193	-95	95	7996	193	-95	95	7996	193	-95	95	7996	193	-95	95	7996
194	-478	478	8474	194	-478	478	8474	194	-478	478	8474	194	-478	478	8474
195	-98	98	8572	195	-98	98	8572	195	-98	98	8572	195	-98	98	8572
196	-160	61	8633	196	-160	61	8633	196	-160	61	8633	196	-160	61	8633
197	-46	46	8679	197	-46	46	8679	197	-46	46	8679	197	-46	46	8679
198	-49	49	8728	198	-49	49	8728	198	-49	49	8728	198	-49	49	8728
199	-35	35	8763	199	-35	35	8763	199	-35	35	8763	199	-35	35	8763
